Random,Greedy,LimeQO,LimeQO+
45s,158.02381326850025,150.73032763730185,132.08518752095495,152.82510315454124
90s,137.28102099293378,122.15540559135539,112.43901799898114,119.73787762277664
180s,111.76133014061065,105.27455904504075,99.3709527077904,84.24943831493938
360s,85.43642357564937,88.0367516166069,85.29074620389903,72.54978659248773
720s,73.976426626576,74.68629225039281,71.21362201170619,69.50531838089712
