Random,Greedy,LimeQO,LimeQO+
0.75h,2.535164983626134,1.9944390837107886,1.6146362771517069,1.292585466545991
1.5h,2.2115018879920423,1.588789058843306,1.430903968447019,1.1928538606638655
3h,1.7826552153580373,1.3247590707869337,1.3023594488723311,1.1454666441973376
6h,1.3210756120731646,1.203336756364982,1.1719257951115387,1.1001308081664054
12h,1.1109653343711803,1.1229438269771181,1.0808797597633841,1.0602298224720186
