Random,Greedy,LimeQO,LimeQO+
1.19h,4.3557992051614915,4.281885737254843,3.821974422045718,3.4068175640846046
2.38h,4.107709732515572,3.816993409696125,3.434333010961333,3.359459538746494
4.75h,3.727994168704311,3.419303276854592,3.230456477635831,3.2733852077138357
7.5h,3.4266626506621294,3.2370158832924423,3.1356321190192658,3.1928339597950233
15h,3.0215521480540346,3.054375914151644,3.0381971257372578,2.9160902436693554
