Random,Greedy,LimeQO,LimeQO(Datashift)
0.375h,1.434770021900382,1.407652353274433,1.3681018322485707,1.3180226939435948
0.75h,1.4086891173346763,1.3606821295093512,1.3263366523846558,1.2941808026829154
1.5h,1.3664623619219862,1.3020015273593033,1.2966689928699175,1.2639806655666266
3h,1.2921949690865975,1.2386176183539734,1.248534786245463,1.2287937771691966
6h,1.1851916201964225,1.2030919185037758,1.1780760742469605,1.159391318169826
